Far field
"Plane Wave Phi"[deg]	"1Blade_SEP_lam8_Carbide [dBsm]"	"1Blade_SEP_lam16_Carbide [dBsm]"	"1Blade_SEP_lam20_Carbide [dBsm]"	"1Blade_SEP_lam25_Carbide [dBsm]"	"1Blade_SEP_lam32_Carbide [dBsm]"	"1Blade_SEP_lam40_Carbide [dBsm]"	"1Blade_SEP_lam64_Carbide [dBsm]"	"1Blade_SEP_lam80_Carbide [dBsm]"	"1Blade_SEP_lam120_Carbide [dBsm]"	
-1.37000000E+02	-4.88645656E+01	-4.88455719E+01	-4.93100278E+01	-4.95205264E+01	-4.90950289E+01	-4.90761332E+01	-4.88148972E+01	-4.87889344E+01	-4.87592818E+01	
-1.36000000E+02	-4.87381678E+01	-4.88328195E+01	-4.92289484E+01	-4.94501256E+01	-4.90499426E+01	-4.90428486E+01	-4.88116245E+01	-4.87904825E+01	-4.87655805E+01	
-1.35000000E+02	-4.85622885E+01	-4.87548981E+01	-4.90835657E+01	-4.93103802E+01	-4.89397795E+01	-4.89428836E+01	-4.87430090E+01	-4.87291378E+01	-4.87114048E+01	
-1.34000000E+02	-4.83410417E+01	-4.86067431E+01	-4.88769856E+01	-4.91035615E+01	-4.87635038E+01	-4.87733375E+01	-4.86030527E+01	-4.85979055E+01	-4.85890890E+01	
-1.33000000E+02	-4.80841491E+01	-4.83927489E+01	-4.86205856E+01	-4.88411830E+01	-4.85290345E+01	-4.85409821E+01	-4.83950374E+01	-4.83992860E+01	-4.84001731E+01	
-1.32000000E+02	-4.78054701E+01	-4.81261234E+01	-4.83319014E+01	-4.85417302E+01	-4.82521226E+01	-4.82609949E+01	-4.81315497E+01	-4.81444860E+01	-4.81546706E+01	
-1.31000000E+02	-4.75210290E+01	-4.78265406E+01	-4.80318222E+01	-4.82273836E+01	-4.79531789E+01	-4.79539506E+01	-4.78320357E+01	-4.78522890E+01	-4.78702029E+01	
-1.30000000E+02	-4.72470312E+01	-4.75164549E+01	-4.77414548E+01	-4.79207281E+01	-4.76543595E+01	-4.76425165E+01	-4.75191987E+01	-4.75445801E+01	-4.75683547E+01	
-1.29000000E+02	-4.69984503E+01	-4.72181530E+01	-4.74800621E+01	-4.76423837E+01	-4.73766247E+01	-4.73486720E+01	-4.72157515E+01	-4.72439560E+01	-4.72710931E+01	
-1.28000000E+02	-4.67880581E+01	-4.69514621E+01	-4.72640273E+01	-4.74097882E+01	-4.71384445E+01	-4.70915245E+01	-4.69417305E+01	-4.69706438E+01	-4.69987378E+01	
-1.27000000E+02	-4.66259691E+01	-4.67329546E+01	-4.71063488E+01	-4.72369101E+01	-4.69549342E+01	-4.68870051E+01	-4.67145401E+01	-4.67419129E+01	-4.67688371E+01	
-1.26000000E+02	-4.65193919E+01	-4.65756684E+01	-4.70165564E+01	-4.71341596E+01	-4.68378732E+01	-4.67473438E+01	-4.65471290E+01	-4.65713031E+01	-4.65950516E+01	
-1.25000000E+02	-4.64723990E+01	-4.64891105E+01	-4.70005969E+01	-4.71085167E+01	-4.67957296E+01	-4.66813912E+01	-4.64497379E+01	-4.64690302E+01	-4.64878518E+01	
-1.24000000E+02	-4.64856313E+01	-4.64795906E+01	-4.70606830E+01	-4.71634634E+01	-4.68337049E+01	-4.66947990E+01	-4.64287087E+01	-4.64418744E+01	-4.64542272E+01	
-1.23000000E+02	-4.65558289E+01	-4.65498360E+01	-4.71944510E+01	-4.72983809E+01	-4.69533800E+01	-4.67895660E+01	-4.64872856E+01	-4.64932166E+01	-4.64979508E+01	
-1.22000000E+02	-4.66751215E+01	-4.66987426E+01	-4.73940379E+01	-4.75077741E+01	-4.71519434E+01	-4.69634100E+01	-4.66245238E+01	-4.66226344E+01	-4.66188021E+01	
-1.21000000E+02	-4.68304516E+01	-4.69202165E+01	-4.76443211E+01	-4.77795186E+01	-4.74209647E+01	-4.72086976E+01	-4.68351901E+01	-4.68253507E+01	-4.68125675E+01	
-1.20000000E+02	-4.70033665E+01	-4.72019235E+01	-4.79219382E+01	-4.80935582E+01	-4.77447564E+01	-4.75107215E+01	-4.71076996E+01	-4.70902073E+01	-4.70692178E+01	
-1.19000000E+02	-4.71710250E+01	-4.75233529E+01	-4.81951526E+01	-4.84208954E+01	-4.80983813E+01	-4.78458555E+01	-4.74232028E+01	-4.73995280E+01	-4.73711328E+01	
-1.18000000E+02	-4.73092236E+01	-4.78554796E+01	-4.84274374E+01	-4.87253987E+01	-4.84481388E+01	-4.81813309E+01	-4.77541345E+01	-4.77266437E+01	-4.76939461E+01	
-1.17000000E+02	-4.73975741E+01	-4.81619523E+01	-4.85855646E+01	-4.89702789E+01	-4.87548852E+01	-4.84776661E+01	-4.80654431E+01	-4.80381142E+01	-4.80053002E+01	
