Far field
"Plane Wave Phi"[deg]	"2Blades_SEP_lam80_Carbide [dBsm]"	"2Blades_SEP_lam8_Carbide [dBsm]"	"2Blades_SEP_lam16_Carbide [dBsm]"	"2Blades_SEP_lam20_Carbide [dBsm]"	"2Blades_SEP_lam32_Carbide [dBsm]"	"2Blades_SEP_lam40_Carbide [dBsm]"	"2Blades_SEP_lam64_Carbide [dBsm]"	
-1.09000000E+02	-3.42016982E+01	-3.36242460E+01	-3.36099532E+01	-3.37492334E+01	-3.42870895E+01	-3.42833940E+01	-3.42401603E+01	
-1.08000000E+02	-3.36475061E+01	-3.32682865E+01	-3.32041517E+01	-3.33209287E+01	-3.37669413E+01	-3.37402461E+01	-3.36842848E+01	
-1.07000000E+02	-3.31350296E+01	-3.29357233E+01	-3.28358988E+01	-3.29265354E+01	-3.32816577E+01	-3.32381154E+01	-3.31706140E+01	
-1.06000000E+02	-3.26898551E+01	-3.26465203E+01	-3.25296184E+01	-3.25897258E+01	-3.28534909E+01	-3.28002709E+01	-3.27245348E+01	
-1.05000000E+02	-3.23276238E+01	-3.24184271E+01	-3.23049463E+01	-3.23294308E+01	-3.24967672E+01	-3.24410254E+01	-3.23615283E+01	
-1.04000000E+02	-3.20511867E+01	-3.22633027E+01	-3.21731649E+01	-3.21559592E+01	-3.22151334E+01	-3.21624599E+01	-3.20842850E+01	
-1.03000000E+02	-3.18492630E+01	-3.21837717E+01	-3.21340127E+01	-3.20688174E+01	-3.19993943E+01	-3.19531340E+01	-3.18813237E+01	
-1.02000000E+02	-3.16964661E+01	-3.21717305E+01	-3.21747155E+01	-3.20550908E+01	-3.18288113E+01	-3.17885762E+01	-3.17269563E+01	
-1.01000000E+02	-3.15561087E+01	-3.22079533E+01	-3.22695852E+01	-3.20901029E+01	-3.16733190E+01	-3.16344249E+01	-3.15843796E+01	
-1.00000000E+02	-3.13856982E+01	-3.22640560E+01	-3.23819151E+01	-3.21390063E+01	-3.14985173E+01	-3.14523626E+01	-3.14117297E+01	
-9.90000000E+01	-3.11456860E+01	-3.23056996E+01	-3.24670085E+01	-3.21597958E+01	-3.12707375E+01	-3.12068055E+01	-3.11696928E+01	
-9.80000000E+01	-3.08078467E+01	-3.22970835E+01	-3.24755561E+01	-3.21066207E+01	-3.09624758E+01	-3.08717711E+01	-3.08301949E+01	
-9.70000000E+01	-3.03619516E+01	-3.22052969E+01	-3.23602469E+01	-3.19366828E+01	-3.05569357E+01	-3.04353832E+01	-3.03832857E+01	
-9.60000000E+01	-2.98191258E+01	-3.20057149E+01	-3.20858717E+01	-3.16211885E+01	-3.00542310E+01	-2.99040128E+01	-2.98393945E+01	
-9.50000000E+01	-2.92114178E+01	-3.16884800E+01	-3.16457659E+01	-3.11603815E+01	-2.94766341E+01	-2.93044815E+01	-2.92297130E+01	
-9.40000000E+01	-2.85870305E+01	-3.12657300E+01	-3.10724359E+01	-3.05907238E+01	-2.88681413E+01	-2.86825399E+01	-2.86026430E+01	
-9.30000000E+01	-2.80034795E+01	-3.07734470E+01	-3.04327955E+01	-2.99785200E+01	-2.82876733E+01	-2.80961387E+01	-2.80155348E+01	
-9.20000000E+01	-2.75184322E+01	-3.02651867E+01	-2.98083131E+01	-2.94005441E+01	-2.77977839E+01	-2.76056137E+01	-2.75269995E+01	
-9.10000000E+01	-2.71841416E+01	-2.97997307E+01	-2.92740086E+01	-2.89266845E+01	-2.74554694E+01	-2.72663201E+01	-2.71898890E+01	
-9.00000000E+01	-2.70447785E+01	-2.94296637E+01	-2.88868765E+01	-2.86103968E+01	-2.73079555E+01	-2.71246101E+01	-2.70490575E+01	
-8.90000000E+01	-2.71363968E+01	-2.91947014E+01	-2.86836596E+01	-2.84861803E+01	-2.73918004E+01	-2.72179164E+01	-2.71409223E+01	
-8.80000000E+01	-2.74883134E+01	-2.91198970E+01	-2.86820155E+01	-2.85714344E+01	-2.77342507E+01	-2.75754916E+01	-2.74952624E+01	
-8.70000000E+01	-2.81247396E+01	-2.92160242E+01	-2.88831766E+01	-2.88672545E+01	-2.83536717E+01	-2.82203384E+01	-2.81363197E+01	
-8.60000000E+01	-2.90649117E+01	-2.94809404E+01	-2.92726583E+01	-2.93580576E+01	-2.92582894E+01	-2.91683795E+01	-2.90834366E+01	
-8.50000000E+01	-3.03216823E+01	-2.99005470E+01	-2.98210925E+01	-3.00109788E+01	-3.04406360E+01	-3.04254476E+01	-3.03498527E+01	
-8.40000000E+01	-3.18952497E+01	-3.04500643E+01	-3.04864585E+01	-3.07764614E+01	-3.18664829E+01	-3.19782094E+01	-3.19349685E+01	
-8.30000000E+01	-3.37595773E+01	-3.10954560E+01	-3.12194615E+01	-3.15946658E+01	-3.34581048E+01	-3.37764505E+01	-3.38114494E+01	
-8.20000000E+01	-3.58338240E+01	-3.17953533E+01	-3.19726733E+01	-3.24092135E+01	-3.50835780E+01	-3.57081302E+01	-3.58960643E+01	
-8.10000000E+01	-3.79392930E+01	-3.25030666E+01	-3.27078552E+01	-3.31801283E+01	-3.65777527E+01	-3.75828595E+01	-3.80082911E+01	
-8.00000000E+01	-3.97573897E+01	-3.31672869E+01	-3.33929463E+01	-3.38832935E+01	-3.78044057E+01	-3.91607231E+01	-3.98340975E+01	
-7.90000000E+01	-4.08694711E+01	-3.37330253E+01	-3.39867071E+01	-3.44888404E+01	-3.86824254E+01	-4.02112951E+01	-4.09667906E+01	
-7.80000000E+01	-4.09715129E+01	-3.41477426E+01	-3.44277608E+01	-3.49375904E+01	-3.91133508E+01	-4.05322798E+01	-4.10973101E+01	
