Far field
"Plane Wave Phi"[deg]	"1Blade_SEP_lam8_Carbide [dBsm]"	"1Blade_SEP_lam16_Carbide [dBsm]"	"1Blade_SEP_lam20_Carbide [dBsm]"	"1Blade_SEP_lam25_Carbide [dBsm]"	"1Blade_SEP_lam32_Carbide [dBsm]"	"1Blade_SEP_lam40_Carbide [dBsm]"	"1Blade_SEP_lam64_Carbide [dBsm]"	"1Blade_SEP_lam80_Carbide [dBsm]"	"1Blade_SEP_lam120_Carbide [dBsm]"	
-1.45000000E+02	-2.10478996E+01	-1.95370613E+01	-2.01471735E+01	-2.00099812E+01	-1.98597257E+01	-1.97341599E+01	-1.94301560E+01	-1.93256722E+01	-1.91903149E+01	
-1.44000000E+02	-2.10623964E+01	-1.96115967E+01	-2.01945668E+01	-2.00620839E+01	-1.99179457E+01	-1.97997374E+01	-1.95096324E+01	-1.94100806E+01	-1.92797955E+01	
-1.43000000E+02	-2.11399339E+01	-1.97494967E+01	-2.03047834E+01	-2.01772804E+01	-2.00394503E+01	-1.99286681E+01	-1.96524845E+01	-1.95576870E+01	-1.94326134E+01	
-1.42000000E+02	-2.12868496E+01	-1.99564164E+01	-2.04838256E+01	-2.03614906E+01	-2.02298963E+01	-2.01265687E+01	-1.98643604E+01	-1.97742228E+01	-1.96543405E+01	
-1.41000000E+02	-2.15104524E+01	-2.02389856E+01	-2.07386559E+01	-2.06215139E+01	-2.04961506E+01	-2.04003054E+01	-2.01517682E+01	-2.00663034E+01	-1.99514062E+01	
-1.40000000E+02	-2.18192711E+01	-2.06050278E+01	-2.10774631E+01	-2.09654521E+01	-2.08460737E+01	-2.07576227E+01	-2.05224799E+01	-2.04415640E+01	-2.03316627E+01	
-1.39000000E+02	-2.22234832E+01	-2.10638016E+01	-2.15099850E+01	-2.14029042E+01	-2.12893550E+01	-2.12080742E+01	-2.09858135E+01	-2.09093595E+01	-2.08040063E+01	
-1.38000000E+02	-2.27354694E+01	-2.16267568E+01	-2.20481887E+01	-2.19456627E+01	-2.18374941E+01	-2.17630687E+01	-2.15531833E+01	-2.14807747E+01	-2.13797785E+01	
-1.37000000E+02	-2.33706474E+01	-2.23078750E+01	-2.27069363E+01	-2.26084143E+01	-2.25048778E+01	-2.24367235E+01	-2.22381186E+01	-2.21695636E+01	-2.20723113E+01	
-1.36000000E+02	-2.41487043E+01	-2.31250164E+01	-2.35052956E+01	-2.34098222E+01	-2.33098726E+01	-2.32475391E+01	-2.30587020E+01	-2.29934146E+01	-2.28992130E+01	
-1.35000000E+02	-2.50956684E+01	-2.41013266E+01	-2.44683855E+01	-2.43744648E+01	-2.42765221E+01	-2.42188872E+01	-2.40375495E+01	-2.39748785E+01	-2.38824552E+01	
