Far field
"Plane Wave Phi"[deg]	"1Blade_SEP_lam8_Carbide [dBsm]"	"1Blade_SEP_lam16_Carbide [dBsm]"	"1Blade_SEP_lam20_Carbide [dBsm]"	"1Blade_SEP_lam25_Carbide [dBsm]"	"1Blade_SEP_lam32_Carbide [dBsm]"	"1Blade_SEP_lam40_Carbide [dBsm]"	"1Blade_SEP_lam64_Carbide [dBsm]"	"1Blade_SEP_lam80_Carbide [dBsm]"	"1Blade_SEP_lam120_Carbide [dBsm]"	
-1.41000000E+02	-5.30118089E+01	-5.12668633E+01	-5.26340520E+01	-5.23708850E+01	-5.17371031E+01	-5.15545243E+01	-5.11323382E+01	-5.09343804E+01	-5.06860134E+01	
-1.40000000E+02	-5.28666594E+01	-5.11504825E+01	-5.25180030E+01	-5.22106259E+01	-5.15729023E+01	-5.14091939E+01	-5.10345804E+01	-5.08530578E+01	-5.06273705E+01	
-1.39000000E+02	-5.27141761E+01	-5.10348952E+01	-5.23908241E+01	-5.20509357E+01	-5.14157712E+01	-5.12684241E+01	-5.09346894E+01	-5.07680431E+01	-5.05634961E+01	
-1.38000000E+02	-5.25711655E+01	-5.09292574E+01	-5.22670125E+01	-5.19042643E+01	-5.12758337E+01	-5.11406565E+01	-5.08418359E+01	-5.06884303E+01	-5.05033093E+01	
-1.37000000E+02	-5.24506795E+01	-5.08414324E+01	-5.21587191E+01	-5.17800585E+01	-5.11603439E+01	-5.10344876E+01	-5.07645730E+01	-5.06226344E+01	-5.04548999E+01	
-1.36000000E+02	-5.23624340E+01	-5.07782509E+01	-5.20756087E+01	-5.16856433E+01	-5.10758064E+01	-5.09561824E+01	-5.07103326E+01	-5.05777640E+01	-5.04255542E+01	
-1.35000000E+02	-5.23137447E+01	-5.07461334E+01	-5.20250482E+01	-5.16269725E+01	-5.10272186E+01	-5.09114053E+01	-5.06841178E+01	-5.05613154E+01	-5.04231397E+01	
-1.34000000E+02	-5.23102372E+01	-5.07513676E+01	-5.20139565E+01	-5.16094762E+01	-5.10198833E+01	-5.09057052E+01	-5.06953588E+01	-5.05800094E+01	-5.04553156E+01	
-1.33000000E+02	-5.23568575E+01	-5.08012950E+01	-5.20479775E+01	-5.16383107E+01	-5.10592390E+01	-5.09458736E+01	-5.07505447E+01	-5.06426509E+01	-5.05309952E+01	
-1.32000000E+02	-5.24585099E+01	-5.09036352E+01	-5.21337804E+01	-5.17196813E+01	-5.11514572E+01	-5.10386561E+01	-5.08576433E+01	-5.07573778E+01	-5.06585952E+01	
