Far field
"Plane Wave Phi"[deg]	"1Blade_SEP_lam8_Carbide [dBsm]"	"1Blade_SEP_lam16_Carbide [dBsm]"	"1Blade_SEP_lam20_Carbide [dBsm]"	"1Blade_SEP_lam25_Carbide [dBsm]"	"1Blade_SEP_lam32_Carbide [dBsm]"	"1Blade_SEP_lam40_Carbide [dBsm]"	
-9.40000000E+01	-4.87937598E+01	-4.65101978E+01	-4.76746472E+01	-4.72947832E+01	-4.69521190E+01	-4.67279290E+01	
-9.30000000E+01	-4.96754426E+01	-4.74028588E+01	-4.85401138E+01	-4.81532916E+01	-4.78182959E+01	-4.76015629E+01	
-9.20000000E+01	-5.08361506E+01	-4.85640316E+01	-4.96701084E+01	-4.92738205E+01	-4.89484405E+01	-4.87400912E+01	
-9.10000000E+01	-5.23607449E+01	-5.00796760E+01	-5.11436996E+01	-5.07356240E+01	-5.04233057E+01	-5.02246640E+01	
-9.00000000E+01	-5.43893888E+01	-5.20936890E+01	-5.30941715E+01	-5.26692478E+01	-5.23781538E+01	-5.21936697E+01	
-8.90000000E+01	-5.71650642E+01	-5.48888188E+01	-5.57630926E+01	-5.53149448E+01	-5.50671739E+01	-5.49102449E+01	
-8.80000000E+01	-6.10499592E+01	-5.91096514E+01	-5.96253219E+01	-5.91600525E+01	-5.90358638E+01	-5.89508664E+01	
-8.70000000E+01	-6.50410842E+01	-6.61023697E+01	-6.50312004E+01	-6.47693724E+01	-6.51749551E+01	-6.54045487E+01	
-8.60000000E+01	-6.28405256E+01	-6.48904427E+01	-6.45971869E+01	-6.48212014E+01	-6.50937344E+01	-6.51740137E+01	
-8.50000000E+01	-5.86874119E+01	-5.85561661E+01	-5.94468610E+01	-5.94020651E+01	-5.91805610E+01	-5.90000546E+01	
-8.40000000E+01	-5.56897727E+01	-5.48161040E+01	-5.59242133E+01	-5.57541182E+01	-5.54385810E+01	-5.52172178E+01	
-8.30000000E+01	-5.35717403E+01	-5.23567980E+01	-5.35373164E+01	-5.33049275E+01	-5.29587221E+01	-5.27252103E+01	
-8.20000000E+01	-5.20405514E+01	-5.06212848E+01	-5.18440541E+01	-5.15721338E+01	-5.12096149E+01	-5.09697171E+01	
-8.10000000E+01	-5.09280454E+01	-4.93610274E+01	-5.06185349E+01	-5.03180366E+01	-4.99433650E+01	-4.96975197E+01	
-8.00000000E+01	-5.01354420E+01	-4.84441590E+01	-4.97395307E+01	-4.94139112E+01	-4.90274264E+01	-4.87748010E+01	
-7.90000000E+01	-4.96009349E+01	-4.77938098E+01	-4.91321212E+01	-4.87834666E+01	-4.83837509E+01	-4.81237767E+01	
-7.80000000E+01	-4.92826183E+01	-4.73604058E+01	-4.87482702E+01	-4.83773532E+01	-4.79624162E+01	-4.76932032E+01	
-7.70000000E+01	-4.91503010E+01	-4.71083420E+01	-4.85549592E+01	-4.81613558E+01	-4.77286950E+01	-4.74488387E+01	
-7.60000000E+01	-4.91800025E+01	-4.70135028E+01	-4.85272376E+01	-4.81105137E+01	-4.76574500E+01	-4.73654481E+01	
-7.50000000E+01	-4.93505452E+01	-4.70556113E+01	-4.86447661E+01	-4.82052458E+01	-4.77282614E+01	-4.74231115E+01	
-7.40000000E+01	-4.96409246E+01	-4.72188504E+01	-4.88905174E+01	-4.84289466E+01	-4.79261278E+01	-4.76055932E+01	
-7.30000000E+01	-5.00283038E+01	-4.74898351E+01	-4.92482146E+01	-4.87675972E+01	-4.82355249E+01	-4.78995873E+01	
-7.20000000E+01	-5.04863969E+01	-4.78583787E+01	-4.97023206E+01	-4.92081725E+01	-4.86459234E+01	-4.82944429E+01	
-7.10000000E+01	-5.09853159E+01	-4.83173352E+01	-5.02374953E+01	-4.97394673E+01	-4.91474820E+01	-4.87815036E+01	
-7.00000000E+01	-5.14927200E+01	-4.88626813E+01	-5.08389813E+01	-5.03526738E+01	-4.97329190E+01	-4.93556607E+01	
-6.90000000E+01	-5.19770969E+01	-4.94959133E+01	-5.14949539E+01	-5.10414617E+01	-5.04014067E+01	-5.00170301E+01	
-6.80000000E+01	-5.24133875E+01	-5.02249593E+01	-5.21935234E+01	-5.18029131E+01	-5.11548169E+01	-5.07708035E+01	
-6.70000000E+01	-5.27866594E+01	-5.10637957E+01	-5.29276852E+01	-5.26393342E+01	-5.20025854E+01	-5.16287467E+01	
-6.60000000E+01	-5.30927179E+01	-5.20326686E+01	-5.36858270E+01	-5.35514693E+01	-5.29564043E+01	-5.26064729E+01	
-6.50000000E+01	-5.33337140E+01	-5.31500227E+01	-5.44470721E+01	-5.45292325E+01	-5.40248289E+01	-5.37172963E+01	
-6.40000000E+01	-5.35090368E+01	-5.44182985E+01	-5.51606892E+01	-5.55261608E+01	-5.51865839E+01	-5.49508787E+01	
-6.30000000E+01	-5.36075143E+01	-5.57606489E+01	-5.57244953E+01	-5.64123704E+01	-5.63395698E+01	-5.62082764E+01	
