Far field
"Plane Wave Phi"[deg]	"2Blades_SEP_lam80_Carbide [dBsm]"	"2Blades_SEP_lam8_Carbide [dBsm]"	"2Blades_SEP_lam16_Carbide [dBsm]"	"2Blades_SEP_lam20_Carbide [dBsm]"	"2Blades_SEP_lam32_Carbide [dBsm]"	"2Blades_SEP_lam40_Carbide [dBsm]"	"2Blades_SEP_lam64_Carbide [dBsm]"	
-1.31000000E+02	-4.20524157E+01	-4.43676988E+01	-4.37351163E+01	-4.35195882E+01	-4.28253994E+01	-4.26216122E+01	-4.22030050E+01	
-1.30000000E+02	-4.22851611E+01	-4.49254845E+01	-4.41897071E+01	-4.39237271E+01	-4.31416123E+01	-4.29071555E+01	-4.24457611E+01	
-1.29000000E+02	-4.27683650E+01	-4.56940106E+01	-4.48826405E+01	-4.45640536E+01	-4.36912551E+01	-4.34315788E+01	-4.29352099E+01	
-1.28000000E+02	-4.34666627E+01	-4.66280720E+01	-4.57783127E+01	-4.53989951E+01	-4.44304440E+01	-4.41526044E+01	-4.36333847E+01	
-1.27000000E+02	-4.42886329E+01	-4.76083245E+01	-4.67728768E+01	-4.63215275E+01	-4.52559677E+01	-4.49698591E+01	-4.44459371E+01	
-1.26000000E+02	-4.50571382E+01	-4.84234821E+01	-4.76608525E+01	-4.71336001E+01	-4.59827963E+01	-4.57004475E+01	-4.51954579E+01	
-1.25000000E+02	-4.55271188E+01	-4.88388030E+01	-4.81746476E+01	-4.75910702E+01	-4.63848632E+01	-4.61128540E+01	-4.56424488E+01	
-1.24000000E+02	-4.55255537E+01	-4.87780378E+01	-4.81700972E+01	-4.75732129E+01	-4.63436117E+01	-4.60748495E+01	-4.56274158E+01	
-1.23000000E+02	-4.51140477E+01	-4.83985551E+01	-4.77742812E+01	-4.72005951E+01	-4.59590002E+01	-4.56773882E+01	-4.52206707E+01	
-1.22000000E+02	-4.45269686E+01	-4.79405075E+01	-4.72513093E+01	-4.67146551E+01	-4.54533623E+01	-4.51454660E+01	-4.46509287E+01	
-1.21000000E+02	-4.39838784E+01	-4.75837451E+01	-4.68132684E+01	-4.63124009E+01	-4.50190252E+01	-4.46780558E+01	-4.41309034E+01	
-1.20000000E+02	-4.36177552E+01	-4.74304950E+01	-4.65775738E+01	-4.61070369E+01	-4.47709276E+01	-4.43944835E+01	-4.37877626E+01	
-1.19000000E+02	-4.34911535E+01	-4.75377880E+01	-4.66013410E+01	-4.61558188E+01	-4.47684061E+01	-4.43547472E+01	-4.36840844E+01	
-1.18000000E+02	-4.36275898E+01	-4.79440683E+01	-4.69115247E+01	-4.64870408E+01	-4.50395155E+01	-4.45853553E+01	-4.38446271E+01	
-1.17000000E+02	-4.40253226E+01	-4.86707868E+01	-4.75113090E+01	-4.71065286E+01	-4.55895888E+01	-4.50904186E+01	-4.42668781E+01	
-1.16000000E+02	-4.46518794E+01	-4.96865021E+01	-4.83537989E+01	-4.79716422E+01	-4.63881920E+01	-4.58396179E+01	-4.49211493E+01	
-1.15000000E+02	-4.54241177E+01	-5.07943222E+01	-4.92674999E+01	-4.89226991E+01	-4.73240721E+01	-4.67335915E+01	-4.57190516E+01	
-1.14000000E+02	-4.61753879E+01	-5.14630622E+01	-4.98732641E+01	-4.95952657E+01	-4.81423173E+01	-4.75504125E+01	-4.64852855E+01	
-1.13000000E+02	-4.66760174E+01	-5.10911814E+01	-4.97476799E+01	-4.95571833E+01	-4.84813825E+01	-4.79706183E+01	-4.69725969E+01	
-1.12000000E+02	-4.67631909E+01	-4.98453974E+01	-4.89121632E+01	-4.87913383E+01	-4.81760498E+01	-4.78127518E+01	-4.70142888E+01	
-1.11000000E+02	-4.64971396E+01	-4.84079026E+01	-4.78124553E+01	-4.77289753E+01	-4.74628697E+01	-4.72421756E+01	-4.66874893E+01	
-1.10000000E+02	-4.60939010E+01	-4.72014504E+01	-4.68286283E+01	-4.67619563E+01	-4.67057810E+01	-4.65835175E+01	-4.62312223E+01	
-1.09000000E+02	-4.57565711E+01	-4.63531665E+01	-4.61250784E+01	-4.60663136E+01	-4.61295126E+01	-4.60657344E+01	-4.58546904E+01	
-1.08000000E+02	-4.55875953E+01	-4.58599009E+01	-4.57329269E+01	-4.56787374E+01	-4.58118860E+01	-4.57796062E+01	-4.56593390E+01	
-1.07000000E+02	-4.56042368E+01	-4.56680498E+01	-4.56192774E+01	-4.55689556E+01	-4.57426541E+01	-4.57248671E+01	-4.56591986E+01	
-1.06000000E+02	-4.57596266E+01	-4.56963876E+01	-4.57138889E+01	-4.56673378E+01	-4.58599127E+01	-4.58441173E+01	-4.58049705E+01	
-1.05000000E+02	-4.59634429E+01	-4.58410544E+01	-4.59185794E+01	-4.58759020E+01	-4.60656406E+01	-4.60419278E+01	-4.60052089E+01	
-1.04000000E+02	-4.61010149E+01	-4.59846814E+01	-4.61173879E+01	-4.60784077E+01	-4.62408213E+01	-4.62005965E+01	-4.61454180E+01	
-1.03000000E+02	-4.60666720E+01	-4.60185919E+01	-4.62001588E+01	-4.61640978E+01	-4.62730313E+01	-4.62094202E+01	-4.61190128E+01	
-1.02000000E+02	-4.58109703E+01	-4.58771863E+01	-4.60983564E+01	-4.60632595E+01	-4.60968435E+01	-4.60071074E+01	-4.58715300E+01	
-1.01000000E+02	-4.53639626E+01	-4.55648842E+01	-4.58150974E+01	-4.57782385E+01	-4.57261647E+01	-4.56117368E+01	-4.54346993E+01	
-1.00000000E+02	-4.48331249E+01	-4.51559612E+01	-4.54267086E+01	-4.53858316E+01	-4.52522047E+01	-4.51189267E+01	-4.49099450E+01	
-9.90000000E+01	-4.43587794E+01	-4.47680904E+01	-4.50572762E+01	-4.50109342E+01	-4.48100182E+01	-4.46648615E+01	-4.44382156E+01	
-9.80000000E+01	-4.40760597E+01	-4.45295937E+01	-4.48434051E+01	-4.47908161E+01	-4.45399635E+01	-4.43892164E+01	-4.41550399E+01	
-9.70000000E+01	-4.41027391E+01	-4.45594598E+01	-4.49133488E+01	-4.48533154E+01	-4.45672781E+01	-4.44145829E+01	-4.41801477E+01	
-9.60000000E+01	-4.45295532E+01	-4.49614935E+01	-4.53807929E+01	-4.53097885E+01	-4.49957946E+01	-4.48416175E+01	-4.46041974E+01	
-9.50000000E+01	-4.54035905E+01	-4.58229369E+01	-4.63409441E+01	-4.62484498E+01	-4.58987486E+01	-4.57375861E+01	-4.54797419E+01	
-9.40000000E+01	-4.66428169E+01	-4.71936082E+01	-4.78326705E+01	-4.76879263E+01	-4.72581508E+01	-4.70709917E+01	-4.67356028E+01	
-9.30000000E+01	-4.77872260E+01	-4.89753084E+01	-4.96415142E+01	-4.93681034E+01	-4.87317435E+01	-4.84724941E+01	-4.79356509E+01	
-9.20000000E+01	-4.78994217E+01	-5.05772235E+01	-5.08036958E+01	-5.03156161E+01	-4.93272592E+01	-4.89562941E+01	-4.81317782E+01	
-9.10000000E+01	-4.67322290E+01	-5.08475239E+01	-5.01738107E+01	-4.95798314E+01	-4.83834495E+01	-4.79582337E+01	-4.70078669E+01	
-9.00000000E+01	-4.51753531E+01	-4.97442308E+01	-4.85247063E+01	-4.79717086E+01	-4.67823320E+01	-4.63690188E+01	-4.54506450E+01	
-8.90000000E+01	-4.38861872E+01	-4.83829320E+01	-4.70121848E+01	-4.65214580E+01	-4.53903446E+01	-4.50031805E+01	-4.41475299E+01	
-8.80000000E+01	-4.30222419E+01	-4.73096899E+01	-4.59390125E+01	-4.55000854E+01	-4.44275954E+01	-4.40671857E+01	-4.32704577E+01	
-8.70000000E+01	-4.25267633E+01	-4.65107022E+01	-4.52103302E+01	-4.48215612E+01	-4.38225163E+01	-4.34944314E+01	-4.27587349E+01	
-8.60000000E+01	-4.22474467E+01	-4.57852730E+01	-4.46153238E+01	-4.42850559E+01	-4.33974879E+01	-4.31136008E+01	-4.24570474E+01	
-8.50000000E+01	-4.19930171E+01	-4.49629249E+01	-4.39606637E+01	-4.36939989E+01	-4.29553431E+01	-4.27262110E+01	-4.21716352E+01	
-8.40000000E+01	-4.16113121E+01	-4.40388873E+01	-4.31889195E+01	-4.29739709E+01	-4.23816785E+01	-4.22034854E+01	-4.17545357E+01	
-8.30000000E+01	-4.10782041E+01	-4.31541675E+01	-4.23986592E+01	-4.22093453E+01	-4.17128362E+01	-4.15651645E+01	-4.11933792E+01	
-8.20000000E+01	-4.05030087E+01	-4.24744482E+01	-4.17478944E+01	-4.15565404E+01	-4.10860992E+01	-4.09428648E+01	-4.06039319E+01	
-8.10000000E+01	-4.00332924E+01	-4.21178608E+01	-4.13660908E+01	-4.11494881E+01	-4.06411115E+01	-4.04802013E+01	-4.01339286E+01	
-8.00000000E+01	-3.97830257E+01	-4.21526646E+01	-4.13335870E+01	-4.10724300E+01	-4.04715058E+01	-4.02764860E+01	-3.98923463E+01	
-7.90000000E+01	-3.98158715E+01	-4.26155804E+01	-4.16950868E+01	-4.13704556E+01	-4.06257028E+01	-4.03837307E+01	-3.99408766E+01	
-7.80000000E+01	-4.01566570E+01	-4.35180448E+01	-4.24713380E+01	-4.20622733E+01	-4.11190864E+01	-4.08196255E+01	-4.03019798E+01	
-7.70000000E+01	-4.08012230E+01	-4.48160294E+01	-4.36486136E+01	-4.31339413E+01	-4.19351082E+01	-4.15710367E+01	-4.09706767E+01	
-7.60000000E+01	-4.17076235E+01	-4.62913902E+01	-4.51142802E+01	-4.44888360E+01	-4.30027067E+01	-4.25782356E+01	-4.19000841E+01	
-7.50000000E+01	-4.27623555E+01	-4.73317703E+01	-4.64851374E+01	-4.58171639E+01	-4.41357422E+01	-4.36857386E+01	-4.29701109E+01	
-7.40000000E+01	-4.37247738E+01	-4.71693799E+01	-4.70173437E+01	-4.64943322E+01	-4.49696737E+01	-4.45798214E+01	-4.39257255E+01	
-7.30000000E+01	-4.42305261E+01	-4.59407208E+01	-4.63197861E+01	-4.60583128E+01	-4.50943996E+01	-4.48601224E+01	-4.43911286E+01	
-7.20000000E+01	-4.40242004E+01	-4.44154693E+01	-4.49467050E+01	-4.48564507E+01	-4.44606869E+01	-4.43857587E+01	-4.41296358E+01	
-7.10000000E+01	-4.32300947E+01	-4.30331824E+01	-4.35247704E+01	-4.34892094E+01	-4.34173687E+01	-4.34268787E+01	-4.32971776E+01	
-7.00000000E+01	-4.21842508E+01	-4.19020999E+01	-4.23005172E+01	-4.22581181E+01	-4.23091633E+01	-4.23351088E+01	-4.22381610E+01	
-6.90000000E+01	-4.11426115E+01	-4.10113678E+01	-4.13138220E+01	-4.12405226E+01	-4.13074859E+01	-4.13145554E+01	-4.11993466E+01	
-6.80000000E+01	-4.02265824E+01	-4.03246231E+01	-4.05430273E+01	-4.04325922E+01	-4.04687177E+01	-4.04439930E+01	-4.02919707E+01	
-6.70000000E+01	-3.94783879E+01	-3.98080828E+01	-3.99575430E+01	-3.98123321E+01	-3.98021620E+01	-3.97441926E+01	-3.95540451E+01	
-6.60000000E+01	-3.89087193E+01	-3.94379246E+01	-3.95325982E+01	-3.93593962E+01	-3.93033050E+01	-3.92156496E+01	-3.89930551E+01	
-6.50000000E+01	-3.85170258E+01	-3.91999980E+01	-3.92521958E+01	-3.90600652E+01	-3.89659390E+01	-3.88545277E+01	-3.86082395E+01	
-6.40000000E+01	-3.83010041E+01	-3.90881385E+01	-3.91078782E+01	-3.89069573E+01	-3.87856977E+01	-3.86571393E+01	-3.83963548E+01	
-6.30000000E+01	-3.82574334E+01	-3.91009222E+01	-3.90960897E+01	-3.88964165E+01	-3.87595712E+01	-3.86204393E+01	-3.83546115E+01	
-6.20000000E+01	-3.83816493E+01	-3.92385437E+01	-3.92148313E+01	-3.90259904E+01	-3.88843387E+01	-3.87411216E+01	-3.84782283E+01	
-6.10000000E+01	-3.86673982E+01	-3.94993256E+01	-3.94607278E+01	-3.92916259E+01	-3.91545263E+01	-3.90132280E+01	-3.87616779E+01	
-6.00000000E+01	-3.91032209E+01	-3.98770176E+01	-3.98260853E+01	-3.96846001E+01	-3.95595223E+01	-3.94260710E+01	-3.91930143E+01	
-5.90000000E+01	-3.96703260E+01	-4.03583488E+01	-4.02959883E+01	-4.01890249E+01	-4.00810943E+01	-3.99611338E+01	-3.97534181E+01	
-5.80000000E+01	-4.03388723E+01	-4.09203701E+01	-4.08459384E+01	-4.07790108E+01	-4.06905081E+01	-4.05891526E+01	-4.04123676E+01	
-5.70000000E+01	-4.10634401E+01	-4.15288208E+01	-4.14403472E+01	-4.14167024E+01	-4.13460036E+01	-4.12675606E+01	-4.11265042E+01	
-5.60000000E+01	-4.17820619E+01	-4.21381652E+01	-4.20320801E+01	-4.20514884E+01	-4.19918320E+01	-4.19387474E+01	-4.18345028E+01	
-5.50000000E+01	-4.24187900E+01	-4.26935405E+01	-4.25653213E+01	-4.26224546E+01	-4.25610588E+01	-4.25328258E+01	-4.24619095E+01	
-5.40000000E+01	-4.28939601E+01	-4.31369182E+01	-4.29825432E+01	-4.30657256E+01	-4.29844324E+01	-4.29764942E+01	-4.29282914E+01	
-5.30000000E+01	-4.31381466E+01	-4.34186558E+01	-4.32352439E+01	-4.33272757E+01	-4.32056244E+01	-4.32096700E+01	-4.31685190E+01	
-5.20000000E+01	-4.31204980E+01	-4.35093036E+01	-4.32962559E+01	-4.33775489E+01	-4.31978813E+01	-4.32033826E+01	-4.31514049E+01	
-5.10000000E+01	-4.28554985E+01	-4.34088241E+01	-4.31667334E+01	-4.32201861E+01	-4.29723730E+01	-4.29691682E+01	-4.28912140E+01	
-5.00000000E+01	-4.23965549E+01	-4.31451246E+01	-4.28752934E+01	-4.28893670E+01	-4.25721478E+01	-4.25530179E+01	-4.24398623E+01	
-4.90000000E+01	-4.18136970E+01	-4.27640225E+01	-4.24672670E+01	-4.24377777E+01	-4.20568934E+01	-4.20178398E+01	-4.18663673E+01	
-4.80000000E+01	-4.11760739E+01	-4.23163251E+01	-4.19930899E+01	-4.19213607E+01	-4.14859976E+01	-4.14262894E+01	-4.12379385E+01	
-4.70000000E+01	-4.05388785E+01	-4.18475180E+01	-4.14984408E+01	-4.13890971E+01	-4.09091992E+01	-4.08302747E+01	-4.06092826E+01	
-4.60000000E+01	-3.99410959E+01	-4.13932255E+01	-4.10195338E+01	-4.08783578E+01	-4.03628288E+01	-4.02674077E+01	-4.00194949E+01	
-4.50000000E+01	-3.94075623E+01	-4.09785430E+01	-4.05826155E+01	-4.04153054E+01	-3.98709063E+01	-3.97623348E+01	-3.94925296E+01	
-4.40000000E+01	-3.89535183E+01	-4.06201630E+01	-4.02049400E+01	-4.00162817E+01	-3.94478726E+01	-3.93296601E+01	-3.90435856E+01	
-4.30000000E+01	-3.85852911E+01	-4.03281090E+01	-3.98974904E+01	-3.96910568E+01	-3.91012177E+01	-3.89766013E+01	-3.86792203E+01	
-4.20000000E+01	-3.83048861E+01	-4.01079839E+01	-3.96662209E+01	-3.94445953E+01	-3.88339319E+01	-3.87059636E+01	-3.84019025E+01	
-4.10000000E+01	-3.81117683E+01	-3.99627442E+01	-3.95142059E+01	-3.92787050E+01	-3.86463424E+01	-3.85173478E+01	-3.82104311E+01	
-4.00000000E+01	-3.80039840E+01	-3.98931511E+01	-3.94425092E+01	-3.91937268E+01	-3.85371688E+01	-3.84089802E+01	-3.81028336E+01	
-3.90000000E+01	-3.79777802E+01	-3.98990983E+01	-3.94508461E+01	-3.91887855E+01	-3.85045045E+01	-3.83784073E+01	-3.80758677E+01	
-3.80000000E+01	-3.80301478E+01	-3.99796966E+01	-3.95383792E+01	-3.92625858E+01	-3.85461785E+01	-3.84228407E+01	-3.81260648E+01	
-3.70000000E+01	-3.81578631E+01	-4.01335437E+01	-3.97039233E+01	-3.94138928E+01	-3.86602885E+01	-3.85399336E+01	-3.82508032E+01	
-3.60000000E+01	-3.83586351E+01	-4.03591424E+01	-3.99464306E+01	-3.96416484E+01	-3.88453732E+01	-3.87276846E+01	-3.84479606E+01	
-3.50000000E+01	-3.86308733E+01	-4.06551848E+01	-4.02651517E+01	-3.99453834E+01	-3.91006752E+01	-3.89850120E+01	-3.87156169E+01	
-3.40000000E+01	-3.89739720E+01	-4.10208392E+01	-4.06601053E+01	-4.03256034E+01	-3.94266120E+01	-3.93119380E+01	-3.90537681E+01	
-3.30000000E+01	-3.93897727E+01	-4.14565320E+01	-4.11330842E+01	-4.07843500E+01	-3.98247108E+01	-3.97096730E+01	-3.94633844E+01	
-3.20000000E+01	-3.98807356E+01	-4.19645095E+01	-4.16874080E+01	-4.13255058E+01	-4.02983300E+01	-4.01814859E+01	-3.99473093E+01	
-3.10000000E+01	-4.04524935E+01	-4.25488183E+01	-4.23288254E+01	-4.19554115E+01	-4.08526918E+01	-4.07322615E+01	-4.05107682E+01	
-3.00000000E+01	-4.11120515E+01	-4.32169699E+01	-4.30667820E+01	-4.26842026E+01	-4.14956497E+01	-4.13695738E+01	-4.11613963E+01	
-2.90000000E+01	-4.18710498E+01	-4.39800578E+01	-4.39145602E+01	-4.35258479E+01	-4.22379662E+01	-4.21039390E+01	-4.19098042E+01	
-2.80000000E+01	-4.27449130E+01	-4.48535942E+01	-4.48916850E+01	-4.45005434E+01	-4.30944240E+01	-4.29498828E+01	-4.27709499E+01	
-2.70000000E+01	-4.37543324E+01	-4.58601751E+01	-4.60253446E+01	-4.56373199E+01	-4.40850913E+01	-4.39268321E+01	-4.37649255E+01	
-2.60000000E+01	-4.49304176E+01	-4.70307952E+01	-4.73555210E+01	-4.69785872E+01	-4.52376530E+01	-4.50616734E+01	-4.49210022E+01	
-2.50000000E+01	-4.63149332E+01	-4.84112400E+01	-4.89415598E+01	-4.85905280E+01	-4.65910077E+01	-4.63920471E+01	-4.62794969E+01	
-2.40000000E+01	-4.79759699E+01	-5.00702677E+01	-5.08781476E+01	-5.05824152E+01	-4.82021235E+01	-4.79731005E+01	-4.79012162E+01	
-2.30000000E+01	-5.00199646E+01	-5.21226277E+01	-5.33255784E+01	-5.31590001E+01	-5.01565916E+01	-4.98876845E+01	-4.98828613E+01	
-2.20000000E+01	-5.26340006E+01	-5.47744693E+01	-5.65717871E+01	-5.67771343E+01	-5.25844632E+01	-5.22636046E+01	-5.23839629E+01	
-2.10000000E+01	-5.61756301E+01	-5.84523155E+01	-6.10264129E+01	-6.28811826E+01	-5.56460394E+01	-5.52756617E+01	-5.56767074E+01	
-2.00000000E+01	-6.11370577E+01	-6.40635688E+01	-6.46643601E+01	-9.19377581E+01	-5.91530796E+01	-5.88719651E+01	-5.99823912E+01	
-1.90000000E+01	-6.38367665E+01	-6.79714959E+01	-6.12055523E+01	-6.34877599E+01	-6.05388848E+01	-6.08324613E+01	-6.24727241E+01	
-1.80000000E+01	-5.92172131E+01	-6.19339044E+01	-5.71819821E+01	-5.76400616E+01	-5.79799666E+01	-5.84731555E+01	-5.90243060E+01	
-1.70000000E+01	-5.52998786E+01	-5.76278482E+01	-5.43537946E+01	-5.43538397E+01	-5.49748464E+01	-5.53392190E+01	-5.53834828E+01	
-1.60000000E+01	-5.26051014E+01	-5.48195589E+01	-5.23070264E+01	-5.21254358E+01	-5.26170520E+01	-5.28719145E+01	-5.27452706E+01	
