Far field
"Plane Wave Phi"[deg]	"2Blades_SEP_lam80_Carbide [dBsm]"	"2Blades_SEP_lam8_Carbide [dBsm]"	"2Blades_SEP_lam16_Carbide [dBsm]"	"2Blades_SEP_lam20_Carbide [dBsm]"	"2Blades_SEP_lam32_Carbide [dBsm]"	"2Blades_SEP_lam40_Carbide [dBsm]"	"2Blades_SEP_lam64_Carbide [dBsm]"	
-8.40000000E+01	-4.16113309E+01	-4.40451854E+01	-4.31934072E+01	-4.29725650E+01	-4.23806007E+01	-4.22027434E+01	-4.17538832E+01	
-8.30000000E+01	-4.10782970E+01	-4.31588148E+01	-4.24028617E+01	-4.22084285E+01	-4.17118349E+01	-4.15645561E+01	-4.11935589E+01	
-8.20000000E+01	-4.05030291E+01	-4.24775166E+01	-4.17515888E+01	-4.15562530E+01	-4.10852608E+01	-4.09423455E+01	-4.06041105E+01	
-8.10000000E+01	-4.00332472E+01	-4.21196351E+01	-4.13689583E+01	-4.11496185E+01	-4.06405119E+01	-4.04797067E+01	-4.01338290E+01	
-8.00000000E+01	-3.97826384E+01	-4.21537028E+01	-4.13358084E+01	-4.10729103E+01	-4.04708156E+01	-4.02760540E+01	-3.98922869E+01	
-7.90000000E+01	-3.98149644E+01	-4.26163623E+01	-4.16961109E+01	-4.13713387E+01	-4.06252230E+01	-4.03833866E+01	-3.99405268E+01	
-7.80000000E+01	-4.01560667E+01	-4.35192761E+01	-4.24712470E+01	-4.20632151E+01	-4.11186335E+01	-4.08191703E+01	-4.03016482E+01	
-7.70000000E+01	-4.08017000E+01	-4.48186750E+01	-4.36469135E+01	-4.31351694E+01	-4.19347682E+01	-4.15703840E+01	-4.09695814E+01	
-7.60000000E+01	-4.17073946E+01	-4.62972269E+01	-4.51105806E+01	-4.44908541E+01	-4.30023845E+01	-4.25772550E+01	-4.18998489E+01	
-7.50000000E+01	-4.27618678E+01	-4.73416253E+01	-4.64794326E+01	-4.58189166E+01	-4.41357816E+01	-4.36847383E+01	-4.29695368E+01	
-7.40000000E+01	-4.37235944E+01	-4.71804314E+01	-4.70097745E+01	-4.64959911E+01	-4.49695682E+01	-4.45790656E+01	-4.39253834E+01	
-7.30000000E+01	-4.42302845E+01	-4.59502249E+01	-4.63108193E+01	-4.60589346E+01	-4.50944780E+01	-4.48591567E+01	-4.43907199E+01	
